# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
6.748000000000000220e+00 8.435000000000000275e-01
6.985999999999999766e+00 8.537000000000000144e-01
7.232999999999999652e+00 8.636000000000000343e-01
7.488000000000000433e+00 8.730999999999999872e-01
7.753000000000000114e+00 8.822999999999999732e-01
8.025999999999999801e+00 8.911999999999999922e-01
8.310000000000000497e+00 8.997000000000000552e-01
8.602999999999999758e+00 9.079000000000000403e-01
8.907000000000000028e+00 9.159000000000000474e-01
9.221999999999999531e+00 9.234999999999999876e-01
9.548000000000000043e+00 9.307999999999999607e-01
9.884999999999999787e+00 9.378999999999999559e-01
1.023000000000000043e+01 9.446999999999999842e-01
1.059999999999999964e+01 9.512000000000000455e-01
1.097000000000000064e+01 9.576000000000000068e-01
1.135999999999999943e+01 9.636000000000000121e-01
1.175999999999999979e+01 9.695000000000000284e-01
1.216999999999999993e+01 9.751999999999999558e-01
1.259999999999999964e+01 9.806000000000000272e-01
1.305000000000000071e+01 9.858999999999999986e-01
1.350999999999999979e+01 9.909999999999999920e-01
1.399000000000000021e+01 9.959000000000000075e-01
1.448000000000000043e+01 1.000999999999999890e+00
1.499000000000000021e+01 1.004999999999999893e+00
1.551999999999999957e+01 1.010000000000000009e+00
1.607000000000000028e+01 1.014000000000000012e+00
1.664000000000000057e+01 1.018999999999999906e+00
1.723000000000000043e+01 1.022999999999999909e+00
1.782999999999999829e+01 1.026999999999999913e+00
1.846000000000000085e+01 1.030999999999999917e+00
1.912000000000000099e+01 1.034999999999999920e+00
1.978999999999999915e+01 1.038000000000000034e+00
2.048999999999999844e+01 1.042000000000000037e+00
2.121000000000000085e+01 1.046000000000000041e+00
2.196000000000000085e+01 1.050000000000000044e+00
2.273999999999999844e+01 1.052999999999999936e+00
2.353999999999999915e+01 1.056999999999999940e+00
2.437000000000000099e+01 1.060999999999999943e+00
2.523999999999999844e+01 1.064999999999999947e+00
2.612999999999999901e+01 1.068000000000000060e+00
2.705000000000000071e+01 1.072000000000000064e+00
2.801000000000000156e+01 1.076000000000000068e+00
2.898999999999999844e+01 1.080999999999999961e+00
3.001999999999999957e+01 1.084999999999999964e+00
3.107999999999999829e+01 1.088999999999999968e+00
3.217999999999999972e+01 1.094000000000000083e+00
3.331000000000000227e+01 1.098999999999999977e+00
3.449000000000000199e+01 1.104999999999999982e+00
3.571000000000000085e+01 1.110999999999999988e+00
3.696999999999999886e+01 1.118000000000000105e+00
3.827000000000000313e+01 1.125999999999999890e+00
3.963000000000000256e+01 1.135000000000000009e+00
4.103000000000000114e+01 1.143999999999999906e+00
4.247999999999999687e+01 1.155999999999999917e+00
4.397999999999999687e+01 1.167999999999999927e+00
4.553000000000000114e+01 1.183000000000000052e+00
4.714000000000000057e+01 1.199999999999999956e+00
4.879999999999999716e+01 1.219000000000000083e+00
5.053000000000000114e+01 1.241000000000000103e+00
5.231000000000000227e+01 1.266000000000000014e+00
5.415999999999999659e+01 1.294999999999999929e+00
5.607000000000000028e+01 1.328000000000000069e+00
5.804999999999999716e+01 1.364000000000000101e+00
6.010000000000000142e+01 1.405999999999999917e+00
6.222999999999999687e+01 1.451999999999999957e+00
6.442000000000000171e+01 1.504000000000000004e+00
6.670000000000000284e+01 1.560999999999999943e+00
6.906000000000000227e+01 1.624000000000000110e+00
7.148999999999999488e+01 1.693000000000000060e+00
7.401999999999999602e+01 1.766999999999999904e+00
7.662999999999999545e+01 1.848000000000000087e+00
7.934000000000000341e+01 1.933999999999999941e+00
8.214000000000000057e+01 2.025999999999999801e+00
8.504000000000000625e+01 2.123000000000000220e+00
8.804999999999999716e+01 2.225999999999999979e+00
9.115999999999999659e+01 2.334000000000000075e+00
9.437999999999999545e+01 2.447000000000000064e+00
9.770999999999999375e+01 2.563000000000000167e+00
1.012000000000000028e+02 2.684000000000000163e+00
1.047000000000000028e+02 2.807999999999999829e+00
1.084000000000000057e+02 2.935000000000000053e+00
1.122999999999999972e+02 3.064000000000000057e+00
1.162000000000000028e+02 3.196000000000000174e+00
1.202999999999999972e+02 3.329000000000000181e+00
1.245999999999999943e+02 3.463000000000000078e+00
1.290000000000000000e+02 3.599000000000000199e+00
1.335000000000000000e+02 3.736000000000000210e+00
1.383000000000000114e+02 3.873000000000000220e+00
1.430999999999999943e+02 4.009999999999999787e+00
1.481999999999999886e+02 4.147999999999999687e+00
1.534000000000000057e+02 4.285999999999999588e+00
1.589000000000000057e+02 4.424000000000000377e+00
1.645000000000000000e+02 4.560999999999999943e+00
1.703000000000000114e+02 4.700000000000000178e+00
1.763000000000000114e+02 4.839000000000000412e+00
1.825000000000000000e+02 4.977999999999999758e+00
1.890000000000000000e+02 5.116999999999999993e+00
1.955999999999999943e+02 5.258000000000000007e+00
2.025999999999999943e+02 5.399000000000000021e+00
2.096999999999999886e+02 5.541000000000000369e+00
2.170999999999999943e+02 5.684000000000000163e+00
2.248000000000000114e+02 5.828000000000000291e+00
2.326999999999999886e+02 5.974000000000000199e+00
2.409000000000000057e+02 6.121000000000000441e+00
2.495000000000000000e+02 6.269999999999999574e+00
2.583000000000000114e+02 6.421000000000000263e+00
2.673999999999999773e+02 6.575000000000000178e+00
2.768000000000000114e+02 6.730999999999999872e+00
2.866000000000000227e+02 6.889999999999999680e+00
2.966999999999999886e+02 7.051999999999999602e+00
3.071999999999999886e+02 7.216999999999999638e+00
3.181000000000000227e+02 7.384999999999999787e+00
3.293000000000000114e+02 7.557000000000000384e+00
3.408999999999999773e+02 7.732999999999999652e+00
3.530000000000000000e+02 7.913000000000000256e+00
3.653999999999999773e+02 8.098000000000000753e+00
3.783000000000000114e+02 8.287000000000000810e+00
3.916999999999999886e+02 8.480000000000000426e+00
4.055000000000000000e+02 8.679000000000000270e+00
4.198999999999999773e+02 8.881999999999999673e+00
4.346999999999999886e+02 9.092000000000000526e+00
4.501000000000000227e+02 9.307000000000000384e+00
4.660000000000000000e+02 9.528999999999999915e+00
4.823999999999999773e+02 9.756000000000000227e+00
4.995000000000000000e+02 9.990999999999999659e+00
5.171000000000000227e+02 1.023000000000000043e+01
5.353999999999999773e+02 1.048000000000000043e+01
5.542999999999999545e+02 1.074000000000000021e+01
5.737999999999999545e+02 1.100000000000000000e+01
5.941000000000000227e+02 1.126999999999999957e+01
6.151000000000000227e+02 1.155000000000000071e+01
6.367999999999999545e+02 1.183999999999999986e+01
6.592999999999999545e+02 1.214000000000000057e+01
6.826000000000000227e+02 1.243999999999999950e+01
7.067000000000000455e+02 1.275999999999999979e+01
7.317000000000000455e+02 1.308999999999999986e+01
7.575000000000000000e+02 1.341999999999999993e+01
7.842999999999999545e+02 1.376999999999999957e+01
8.120000000000000000e+02 1.413000000000000078e+01
8.407000000000000455e+02 1.450999999999999979e+01
8.703999999999999773e+02 1.489000000000000057e+01
9.011000000000000227e+02 1.528999999999999915e+01
9.328999999999999773e+02 1.569999999999999929e+01
9.658999999999999773e+02 1.612999999999999901e+01
1.000000000000000000e+03 1.657000000000000028e+01
-----------------------


Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 6.104000000000000151e+24
1.034999999999999920e+00 6.031999999999999564e+24
1.072000000000000064e+00 5.960999999999999537e+24
1.110000000000000098e+00 5.891000000000000069e+24
1.149000000000000021e+00 5.820000000000000042e+24
1.189999999999999947e+00 5.749999999999999501e+24
1.231999999999999984e+00 5.680000000000000034e+24
1.274999999999999911e+00 5.609000000000000006e+24
1.320000000000000062e+00 5.538999999999999465e+24
1.366999999999999993e+00 5.468999999999999998e+24
1.415000000000000036e+00 5.397999999999999971e+24
1.465000000000000080e+00 5.326999999999999943e+24
1.516999999999999904e+00 5.255999999999999916e+24
1.570000000000000062e+00 5.184999999999999889e+24
1.625999999999999890e+00 5.113000000000000375e+24
1.683000000000000052e+00 5.040999999999999788e+24
1.743000000000000105e+00 4.967999999999999715e+24
1.804000000000000048e+00 4.894000000000000155e+24
1.868000000000000105e+00 4.820000000000000059e+24
1.933999999999999941e+00 4.744999999999999939e+24
2.001999999999999780e+00 4.669999999999999820e+24
2.072999999999999954e+00 4.594000000000000214e+24
2.145999999999999908e+00 4.518000000000000071e+24
2.221999999999999975e+00 4.440999999999999906e+24
2.299999999999999822e+00 4.363999999999999740e+24
2.382000000000000117e+00 4.286000000000000088e+24
2.466000000000000192e+00 4.207999999999999899e+24
2.552999999999999936e+00 4.130000000000000247e+24
2.642999999999999794e+00 4.053000000000000082e+24
2.736000000000000210e+00 3.974999999999999893e+24
2.833000000000000185e+00 3.897000000000000241e+24
2.932999999999999829e+00 3.820000000000000075e+24
3.036999999999999922e+00 3.743999999999999933e+24
3.144000000000000128e+00 3.667999999999999790e+24
3.254999999999999893e+00 3.594000000000000231e+24
3.370000000000000107e+00 3.520000000000000134e+24
3.488999999999999879e+00 3.448000000000000084e+24
3.612000000000000099e+00 3.377000000000000057e+24
3.740000000000000213e+00 3.307000000000000052e+24
3.871999999999999886e+00 3.239000000000000094e+24
4.009000000000000341e+00 3.173000000000000182e+24
4.150000000000000355e+00 3.107999999999999757e+24
4.296999999999999709e+00 3.044999999999999914e+24
4.448999999999999844e+00 2.983000000000000094e+24
4.605999999999999872e+00 2.923999999999999807e+24
4.769000000000000128e+00 2.866000000000000080e+24
4.937000000000000277e+00 2.809999999999999862e+24
5.110999999999999766e+00 2.756000000000000226e+24
5.291999999999999815e+00 2.704000000000000101e+24
5.479000000000000092e+00 2.654000000000000021e+24
5.671999999999999709e+00 2.604999999999999964e+24
5.873000000000000220e+00 2.557999999999999954e+24
6.080000000000000071e+00 2.512999999999999990e+24
6.294999999999999929e+00 2.469000000000000048e+24
6.517000000000000348e+00 2.427000000000000153e+24
6.748000000000000220e+00 2.387000000000000036e+24
6.985999999999999766e+00 2.347999999999999941e+24
7.232999999999999652e+00 2.310999999999999893e+24
7.488000000000000433e+00 2.274999999999999868e+24
7.753000000000000114e+00 2.240000000000000134e+24
8.025999999999999801e+00 2.206999999999999910e+24
8.310000000000000497e+00 2.174999999999999977e+24
8.602999999999999758e+00 2.144000000000000067e+24
8.907000000000000028e+00 2.114999999999999935e+24
9.221999999999999531e+00 2.086000000000000071e+24
9.548000000000000043e+00 2.058999999999999985e+24
9.884999999999999787e+00 2.032999999999999922e+24
1.023000000000000043e+01 2.007000000000000128e+24
1.059999999999999964e+01 1.983000000000000111e+24
1.097000000000000064e+01 1.960000000000000117e+24
1.135999999999999943e+01 1.937000000000000124e+24
1.175999999999999979e+01 1.914999999999999885e+24
1.216999999999999993e+01 1.893999999999999937e+24
1.259999999999999964e+01 1.874000000000000013e+24
1.305000000000000071e+01 1.855000000000000111e+24
1.350999999999999979e+01 1.835999999999999941e+24
1.399000000000000021e+01 1.818000000000000063e+24
1.448000000000000043e+01 1.800999999999999939e+24
1.499000000000000021e+01 1.784000000000000084e+24
1.551999999999999957e+01 1.767999999999999983e+24
1.607000000000000028e+01 1.751999999999999883e+24
1.664000000000000057e+01 1.736000000000000050e+24
1.723000000000000043e+01 1.721999999999999996e+24
1.782999999999999829e+01 1.706999999999999918e+24
1.846000000000000085e+01 1.693000000000000132e+24
1.912000000000000099e+01 1.680000000000000101e+24
1.978999999999999915e+01 1.667000000000000069e+24
2.048999999999999844e+01 1.654000000000000038e+24
2.121000000000000085e+01 1.642000000000000029e+24
2.196000000000000085e+01 1.630000000000000021e+24
2.273999999999999844e+01 1.618000000000000013e+24
2.353999999999999915e+01 1.606000000000000004e+24
2.437000000000000099e+01 1.595000000000000019e+24
2.523999999999999844e+01 1.583000000000000010e+24
2.612999999999999901e+01 1.572000000000000025e+24
2.705000000000000071e+01 1.561000000000000040e+24
2.801000000000000156e+01 1.550000000000000055e+24
2.898999999999999844e+01 1.540000000000000092e+24
3.001999999999999957e+01 1.529000000000000107e+24
3.107999999999999829e+01 1.518999999999999876e+24
3.217999999999999972e+01 1.507999999999999891e+24
3.331000000000000227e+01 1.496999999999999906e+24
3.449000000000000199e+01 1.486999999999999943e+24
3.571000000000000085e+01 1.476999999999999981e+24
3.696999999999999886e+01 1.465999999999999996e+24
3.827000000000000313e+01 1.456000000000000034e+24
3.963000000000000256e+01 1.446000000000000071e+24
4.103000000000000114e+01 1.435000000000000086e+24
4.247999999999999687e+01 1.425000000000000124e+24
4.397999999999999687e+01 1.414999999999999893e+24
4.553000000000000114e+01 1.403999999999999908e+24
4.714000000000000057e+01 1.393999999999999945e+24
4.879999999999999716e+01 1.382999999999999960e+24
5.053000000000000114e+01 1.372999999999999998e+24
5.231000000000000227e+01 1.363000000000000036e+24
5.415999999999999659e+01 1.352000000000000050e+24
5.607000000000000028e+01 1.342000000000000088e+24
5.804999999999999716e+01 1.331000000000000103e+24
6.010000000000000142e+01 1.320999999999999872e+24
6.222999999999999687e+01 1.309999999999999887e+24
6.442000000000000171e+01 1.299999999999999925e+24
6.670000000000000284e+01 1.289999999999999962e+24
6.906000000000000227e+01 1.280000000000000000e+24
7.148999999999999488e+01 1.270000000000000038e+24
7.401999999999999602e+01 1.259000000000000052e+24
7.662999999999999545e+01 1.249000000000000090e+24
7.934000000000000341e+01 1.239000000000000128e+24
8.214000000000000057e+01 1.228999999999999897e+24
8.504000000000000625e+01 1.218999999999999935e+24
8.804999999999999716e+01 1.208999999999999973e+24
9.115999999999999659e+01 1.200000000000000034e+24
9.437999999999999545e+01 1.189999999999999937e+24
9.770999999999999375e+01 1.180999999999999998e+24
1.012000000000000028e+02 1.172000000000000059e+24
1.047000000000000028e+02 1.162999999999999985e+24
1.084000000000000057e+02 1.154000000000000046e+24
1.122999999999999972e+02 1.144999999999999973e+24
1.162000000000000028e+02 1.136000000000000034e+24
1.202999999999999972e+02 1.126999999999999960e+24
1.245999999999999943e+02 1.119000000000000044e+24
1.290000000000000000e+02 1.109999999999999971e+24
1.335000000000000000e+02 1.102000000000000055e+24
1.383000000000000114e+02 1.092999999999999981e+24
1.430999999999999943e+02 1.085000000000000065e+24
1.481999999999999886e+02 1.075999999999999992e+24
1.534000000000000057e+02 1.067999999999999941e+24
1.589000000000000057e+02 1.060000000000000025e+24
1.645000000000000000e+02 1.050999999999999952e+24
1.703000000000000114e+02 1.043000000000000036e+24
1.763000000000000114e+02 1.034999999999999985e+24
1.825000000000000000e+02 1.026000000000000046e+24
1.890000000000000000e+02 1.017999999999999996e+24
1.955999999999999943e+02 1.009999999999999945e+24
2.025999999999999943e+02 1.002000000000000029e+24
2.096999999999999886e+02 9.936999999999999990e+23
2.170999999999999943e+02 9.856000000000000000e+23
2.248000000000000114e+02 9.774000000000000524e+23
2.326999999999999886e+02 9.691999999999999706e+23
2.409000000000000057e+02 9.610999999999999717e+23
2.495000000000000000e+02 9.529000000000000241e+23
2.583000000000000114e+02 9.448000000000000252e+23
2.673999999999999773e+02 9.367000000000000262e+23
2.768000000000000114e+02 9.286000000000000273e+23
2.866000000000000227e+02 9.203999999999999455e+23
2.966999999999999886e+02 9.124000000000000294e+23
3.071999999999999886e+02 9.043000000000000304e+23
3.181000000000000227e+02 8.962999999999999801e+23
3.293000000000000114e+02 8.881999999999999811e+23
3.408999999999999773e+02 8.802000000000000650e+23
3.530000000000000000e+02 8.722000000000000147e+23
3.653999999999999773e+02 8.641999999999999643e+23
3.783000000000000114e+02 8.562000000000000482e+23
3.916999999999999886e+02 8.481999999999999979e+23
4.055000000000000000e+02 8.403000000000000304e+23
4.198999999999999773e+02 8.324000000000000629e+23
4.346999999999999886e+02 8.244999999999999612e+23
4.501000000000000227e+02 8.165999999999999937e+23
4.660000000000000000e+02 8.087000000000000262e+23
4.823999999999999773e+02 8.009000000000000073e+23
4.995000000000000000e+02 7.930999999999999885e+23
5.171000000000000227e+02 7.852999999999999696e+23
5.353999999999999773e+02 7.774999999999999507e+23
5.542999999999999545e+02 7.698000000000000147e+23
5.737999999999999545e+02 7.619999999999999958e+23
5.941000000000000227e+02 7.543000000000000598e+23
6.151000000000000227e+02 7.465999999999999895e+23
6.367999999999999545e+02 7.390000000000000021e+23
6.592999999999999545e+02 7.314000000000000147e+23
6.826000000000000227e+02 7.238000000000000273e+23
7.067000000000000455e+02 7.162000000000000398e+23
7.317000000000000455e+02 7.086000000000000524e+23
7.575000000000000000e+02 7.011000000000000136e+23
7.842999999999999545e+02 6.935999999999999748e+23
8.120000000000000000e+02 6.862000000000000189e+23
8.407000000000000455e+02 6.786999999999999801e+23
8.703999999999999773e+02 6.713999999999999727e+23
9.011000000000000227e+02 6.640999999999999654e+23
9.328999999999999773e+02 6.567999999999999581e+23
9.658999999999999773e+02 6.496000000000000336e+23
1.000000000000000000e+03 6.423999999999999748e+23
-----------------------


Diffusion coefficient *N (1/m/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 1.295000000000000078e+24
1.034999999999999920e+00 1.298999999999999901e+24
1.072000000000000064e+00 1.301999999999999971e+24
1.110000000000000098e+00 1.306000000000000063e+24
1.149000000000000021e+00 1.310999999999999910e+24
1.189999999999999947e+00 1.315000000000000002e+24
1.231999999999999984e+00 1.320000000000000117e+24
1.274999999999999911e+00 1.324999999999999964e+24
1.320000000000000062e+00 1.330000000000000080e+24
1.366999999999999993e+00 1.335999999999999950e+24
1.415000000000000036e+00 1.341000000000000065e+24
1.465000000000000080e+00 1.347999999999999958e+24
1.516999999999999904e+00 1.354000000000000096e+24
1.570000000000000062e+00 1.360999999999999990e+24
1.625999999999999890e+00 1.367999999999999883e+24
1.683000000000000052e+00 1.376000000000000067e+24
1.743000000000000105e+00 1.383999999999999983e+24
1.804000000000000048e+00 1.392999999999999922e+24
1.868000000000000105e+00 1.402000000000000130e+24
1.933999999999999941e+00 1.411000000000000069e+24
2.001999999999999780e+00 1.421000000000000031e+24
2.072999999999999954e+00 1.432000000000000017e+24
2.145999999999999908e+00 1.443000000000000002e+24
2.221999999999999975e+00 1.453999999999999987e+24
2.299999999999999822e+00 1.465999999999999996e+24
2.382000000000000117e+00 1.478000000000000004e+24
2.466000000000000192e+00 1.491000000000000036e+24
2.552999999999999936e+00 1.504000000000000067e+24
2.642999999999999794e+00 1.517000000000000099e+24
2.736000000000000210e+00 1.530000000000000130e+24
2.833000000000000185e+00 1.543999999999999916e+24
2.932999999999999829e+00 1.556999999999999948e+24
3.036999999999999922e+00 1.571000000000000002e+24
3.144000000000000128e+00 1.585000000000000057e+24
3.254999999999999893e+00 1.599000000000000111e+24
3.370000000000000107e+00 1.611999999999999874e+24
3.488999999999999879e+00 1.625999999999999929e+24
3.612000000000000099e+00 1.638999999999999960e+24
3.740000000000000213e+00 1.651999999999999992e+24
3.871999999999999886e+00 1.665000000000000023e+24
4.009000000000000341e+00 1.678000000000000055e+24
4.150000000000000355e+00 1.690000000000000063e+24
4.296999999999999709e+00 1.702000000000000071e+24
4.448999999999999844e+00 1.713000000000000057e+24
4.605999999999999872e+00 1.725000000000000065e+24
4.769000000000000128e+00 1.735000000000000027e+24
4.937000000000000277e+00 1.746000000000000013e+24
5.110999999999999766e+00 1.754999999999999952e+24
5.291999999999999815e+00 1.764999999999999914e+24
5.479000000000000092e+00 1.774000000000000122e+24
5.671999999999999709e+00 1.782000000000000038e+24
5.873000000000000220e+00 1.790999999999999977e+24
6.080000000000000071e+00 1.797999999999999870e+24
6.294999999999999929e+00 1.806000000000000055e+24
6.517000000000000348e+00 1.812999999999999948e+24
6.748000000000000220e+00 1.819000000000000086e+24
6.985999999999999766e+00 1.824999999999999956e+24
7.232999999999999652e+00 1.831000000000000094e+24
7.488000000000000433e+00 1.836999999999999964e+24
7.753000000000000114e+00 1.842000000000000080e+24
8.025999999999999801e+00 1.845999999999999904e+24
8.310000000000000497e+00 1.851000000000000019e+24
8.602999999999999758e+00 1.855000000000000111e+24
8.907000000000000028e+00 1.858999999999999935e+24
9.221999999999999531e+00 1.863000000000000027e+24
9.548000000000000043e+00 1.866000000000000096e+24
9.884999999999999787e+00 1.868999999999999897e+24
1.023000000000000043e+01 1.871999999999999966e+24
1.059999999999999964e+01 1.874000000000000013e+24
1.097000000000000064e+01 1.877000000000000082e+24
1.135999999999999943e+01 1.879000000000000128e+24
1.175999999999999979e+01 1.880999999999999906e+24
1.216999999999999993e+01 1.882999999999999952e+24
1.259999999999999964e+01 1.884999999999999998e+24
1.305000000000000071e+01 1.886000000000000021e+24
1.350999999999999979e+01 1.887000000000000044e+24
1.399000000000000021e+01 1.888000000000000067e+24
1.448000000000000043e+01 1.889000000000000090e+24
1.499000000000000021e+01 1.890000000000000113e+24
1.551999999999999957e+01 1.890999999999999868e+24
1.607000000000000028e+01 1.891999999999999891e+24
1.664000000000000057e+01 1.891999999999999891e+24
1.723000000000000043e+01 1.891999999999999891e+24
1.782999999999999829e+01 1.891999999999999891e+24
1.846000000000000085e+01 1.891999999999999891e+24
1.912000000000000099e+01 1.891999999999999891e+24
1.978999999999999915e+01 1.891999999999999891e+24
2.048999999999999844e+01 1.891999999999999891e+24
2.121000000000000085e+01 1.891999999999999891e+24
2.196000000000000085e+01 1.890999999999999868e+24
2.273999999999999844e+01 1.890999999999999868e+24
2.353999999999999915e+01 1.890000000000000113e+24
2.437000000000000099e+01 1.890000000000000113e+24
2.523999999999999844e+01 1.889000000000000090e+24
2.612999999999999901e+01 1.888000000000000067e+24
2.705000000000000071e+01 1.887000000000000044e+24
2.801000000000000156e+01 1.886000000000000021e+24
2.898999999999999844e+01 1.884999999999999998e+24
3.001999999999999957e+01 1.883999999999999975e+24
3.107999999999999829e+01 1.882999999999999952e+24
3.217999999999999972e+01 1.880999999999999906e+24
3.331000000000000227e+01 1.879999999999999883e+24
3.449000000000000199e+01 1.879000000000000128e+24
3.571000000000000085e+01 1.878000000000000105e+24
3.696999999999999886e+01 1.878000000000000105e+24
3.827000000000000313e+01 1.878000000000000105e+24
3.963000000000000256e+01 1.878000000000000105e+24
4.103000000000000114e+01 1.878000000000000105e+24
4.247999999999999687e+01 1.879999999999999883e+24
4.397999999999999687e+01 1.881999999999999929e+24
4.553000000000000114e+01 1.883999999999999975e+24
4.714000000000000057e+01 1.888000000000000067e+24
4.879999999999999716e+01 1.892999999999999914e+24
5.053000000000000114e+01 1.900000000000000075e+24
5.231000000000000227e+01 1.909000000000000015e+24
5.415999999999999659e+01 1.918999999999999977e+24
5.607000000000000028e+01 1.930999999999999985e+24
5.804999999999999716e+01 1.945000000000000040e+24
6.010000000000000142e+01 1.961999999999999895e+24
6.222999999999999687e+01 1.982000000000000088e+24
6.442000000000000171e+01 2.005000000000000082e+24
6.670000000000000284e+01 2.030999999999999876e+24
6.906000000000000227e+01 2.060000000000000008e+24
7.148999999999999488e+01 2.092999999999999964e+24
7.401999999999999602e+01 2.128999999999999990e+24
7.662999999999999545e+01 2.168000000000000084e+24
7.934000000000000341e+01 2.211000000000000002e+24
8.214000000000000057e+01 2.256999999999999990e+24
8.504000000000000625e+01 2.306000000000000046e+24
8.804999999999999716e+01 2.358999999999999927e+24
9.115999999999999659e+01 2.414999999999999876e+24
9.437999999999999545e+01 2.473000000000000141e+24
9.770999999999999375e+01 2.533999999999999937e+24
1.012000000000000028e+02 2.596999999999999780e+24
1.047000000000000028e+02 2.662000000000000206e+24
1.084000000000000057e+02 2.728000000000000117e+24
1.122999999999999972e+02 2.796000000000000075e+24
1.162000000000000028e+02 2.865000000000000057e+24
1.202999999999999972e+02 2.935000000000000061e+24
1.245999999999999943e+02 3.005000000000000065e+24
1.290000000000000000e+02 3.075000000000000069e+24
1.335000000000000000e+02 3.146000000000000096e+24
1.383000000000000114e+02 3.217000000000000124e+24
1.430999999999999943e+02 3.287000000000000128e+24
1.481999999999999886e+02 3.357000000000000132e+24
1.534000000000000057e+02 3.427000000000000136e+24
1.589000000000000057e+02 3.496000000000000117e+24
1.645000000000000000e+02 3.564000000000000075e+24
1.703000000000000114e+02 3.632000000000000034e+24
1.763000000000000114e+02 3.698999999999999969e+24
